📺收集线路,#genre#
浙江卫视,http://171.213.36.94:8888/udp/239.93.0.124:5140
浙江卫视,http://113.57.150.190:9000/tsfile/live/0124_1.m3u8
浙江卫视,http://1278.hsmedia.top:8080/newlive/live/hls/20/live.m3u8
浙江卫视,http://1304.hsmedia.top:8080/newlive/live/hls/31/live.m3u8

重庆卫视,http://ys.rgood.xyz:8899/udp/239.77.1.162:5146
重庆卫视,http://ys.rgood.xyz:8899/udp/239.77.1.210:5146
重庆卫视,http://ys.rgood.xyz:8899/udp/239.77.0.182:5146
重庆卫视,http://171.213.36.94:8888/udp/239.93.1.107:5140
重庆卫视,http://171.221.240.108:808/hls/26/index.m3u8
重庆卫视,http://113.57.150.190:9000/tsfile/live/0142_1.m3u8
重庆卫视,http://1639.hsmedia.top:8080/newlive/live/hls/30/live.m3u8
重庆卫视,http://221.214.140.137:9901/tsfile/live/0142_1.m3u8

山东卫视,http://ys.rgood.xyz:8899/udp/239.77.1.153:5146
山东卫视,http://ys.rgood.xyz:8899/udp/239.77.1.142:5146
山东卫视,http://ys.rgood.xyz:8899/udp/239.77.0.94:5146
山东卫视,http://ys.rgood.xyz:8899/udp/239.77.0.132:5146
山东卫视,http://1583.hsmedia.top:8080/newlive/live/hls/20/live.m3u8
山东卫视,http://171.213.36.94:8888/udp/239.93.0.168:5140
山东卫视,http://183.203.182.117:9616/hls/23/index.m3u8
山东卫视,http://1278.hsmedia.top:8080/newlive/live/hls/26/live.m3u8
山东卫视,http://1304.hsmedia.top:8080/newlive/live/hls/35/live.m3u8


湖北卫视,http://ys.rgood.xyz:8899/udp/239.77.1.174:5146
湖北卫视,http://ys.rgood.xyz:8899/udp/239.77.1.93:5146
湖北卫视,http://ys.rgood.xyz:8899/udp/239.77.0.95:5146
湖北卫视,http://ys.rgood.xyz:8899/udp/239.77.0.128:5146
湖北卫视,http://171.213.36.94:8888/udp/239.93.0.250:5140
湖北卫视,http://1278.hsmedia.top:8080/newlive/live/hls/31/live.m3u8
湖北卫视,http://113.57.150.190:9000/tsfile/live/0132_1.m3u8
湖北卫视,http://1304.hsmedia.top:8080/newlive/live/hls/34/live.m3u8
湖北卫视,http://1583.hsmedia.top:8080/newlive/live/hls/33/live.m3u8


江西卫视,http://ys.rgood.xyz:8899/udp/239.77.1.219:5146
江西卫视,http://ys.rgood.xyz:8899/udp/239.77.0.149:5146
江西卫视,http://171.213.36.94:8888/udp/239.93.0.134:5140
江西卫视,http://113.57.150.190:9000/tsfile/live/0138_1.m3u8

安徽卫视,http://ys.rgood.xyz:8899/udp/239.77.1.157:5146
安徽卫视,http://ys.rgood.xyz:8899/udp/239.77.1.92:5146
安徽卫视,http://ys.rgood.xyz:8899/udp/239.77.0.183:5146
安徽卫视,http://171.213.36.94:8888/udp/239.93.1.106:5140
安徽卫视,http://183.203.182.117:9616/hls/27/index.m3u8
安徽卫视,http://113.57.150.190:9000/tsfile/live/0130_1.m3u8
安徽卫视,http://1583.hsmedia.top:8080/newlive/live/hls/41/live.m3u8


辽宁卫视,http://1583.hsmedia.top:8080/newlive/live/hls/32/live.m3u8
辽宁卫视,http://171.213.36.94:8888/udp/239.93.1.108:5140
辽宁卫视,http://ys.rgood.xyz:8899/udp/239.77.1.103:5146
辽宁卫视,http://ys.rgood.xyz:8899/udp/239.77.0.123:5146
辽宁卫视,http://113.57.150.190:9000/tsfile/live/0121_1.m3u8
辽宁卫视,http://1278.hsmedia.top:8080/newlive/live/hls/29/live.m3u8
辽宁卫视,http://183.203.182.117:9616/hls/19/index.m3u8
辽宁卫视,http://1304.hsmedia.top:8080/newlive/live/hls/38/live.m3u8

四川卫视,http://ys.rgood.xyz:8899/udp/239.77.0.163:5146
